Jugador,Puntuacion,Fecha
'JOSE','8','23-mayo-2022 // 17:12:15'
'JOSE','4','23-mayo-2022 // 13:27:03'
'JOSE','4','24-mayo-2022 // 18:10:45'
'BENITO','4','24-mayo-2022 // 18:59:29'
'LOCO','4','24-mayo-2022 // 19:00:49'
'LOCO','3','23-mayo-2022 // 12:39:50'
'JUAN','3','23-mayo-2022 // 12:45:21'
'JOSE','3','23-mayo-2022 // 13:19:38'
'KIKO','3','23-mayo-2022 // 17:19:18'
'A','3','23-mayo-2022 // 17:58:49'
'JOSE','3','24-mayo-2022 // 18:22:29'
'PEDRO','3','24-mayo-2022 // 19:04:48'
'JOSE','2','23-mayo-2022 // 13:16:36'
'JOSE','2','23-mayo-2022 // 13:17:26'
'PEDRO','2','23-mayo-2022 // 13:25:45'
'PEDRO','2','23-mayo-2022 // 17:13:41'
'LOCO','2','23-mayo-2022 // 17:21:38'
'BENITO','2','24-mayo-2022 // 18:19:28'
'BENITO','2','24-mayo-2022 // 18:24:59'
'BENITO','2','24-mayo-2022 // 18:58:05'
'BENITO','2','24-mayo-2022 // 18:58:45'
'LOCO','2','24-mayo-2022 // 19:02:45'
'LOCO','1','23-mayo-2022 // 13:05:21'
'JOSE','1','23-mayo-2022 // 17:08:15'
'BENITO','1','24-mayo-2022 // 18:53:09'
'A','1','24-mayo-2022 // 18:55:23'
'PEDRO','0','24-mayo-2022 // 19:06:16'
